title,date,price,is_discounted,locals,surface,bathrooms,floor
"Quadrilocale corso Bernardino Telesio, 121, Parella, Torino",23/12/2022,€ 330.000,0,4,105 m²,2,2
"Quadrilocale corso Bernardino Telesio, 121, Parella, Torino",23/12/2022,€ 350.000,0,4,115 m²,2,1
"Quadrilocale corso Bernardino Telesio, 121, Parella, Torino",23/12/2022,€ 360.000,0,4,115 m²,2,2
"Attico corso Bernardino Telesio, 121, Parella, Torino",23/12/2022,€ 490.000,0,4,145 m²,2,3
"Appartamento corso Bernardino Telesio, 121, Parella, Torino",23/12/2022,€ 590.000,0,5+,175 m²,3,3
"Appartamento corso Bernardino Telesio, 121, Parella, Torino",23/12/2022,€ 590.000,0,5+,175 m²,3,3
"Monolocale via Silvio Pellico 21, San Salvario - Baretti, Torino",27/12/2022,€ 151.000,0,1,42 m²,1,1
"Bilocale corso Moncalieri 286, Cavoretto, Torino",21/12/2022,€ 100.000,0,2,54 m²,1,2
"Quadrilocale via Giovanni Servais 126, Parella, Torino",21/11/2022,€ 292.000,0,4,154 m²,1,T
"Trilocale via Madama Cristina 27, San Salvario - Baretti, Torino",24/11/2022,€ 250.000,0,3,90 m²,2,1
"Appartamento corso Vittorio Emanuele II 64, Piazza Solferino, Torino",06/12/2022,€ 650.000,0,5+,180 m²,2,4
"Attico via Benvenuto Cellini 31, San Salvario - Dante, Torino",19/11/2022,Prezzo su richiesta,0,5+,180 m²,3,4 - 5
"Appartamento corso Duca degli Abruzzi 33, Crocetta, Torino",25/11/2022,€ 855.000,0,5+,302 m²,3,1
"Quadrilocale via Gian Francesco Re 57, Parella, Torino",01/12/2022,€ 178.000,0,4,100 m²,2,5
"Trilocale via Rivara 36, Campidoglio, Torino",09/12/2022,€ 279.000,0,3,97 m²,3,T
"Trilocale viale 25 Aprile 168, Cavoretto, Torino",14/10/2022,€ 550.000,0,3,123 m²,1,
"Bilocale via DOMODOSSOLA, Parella, Torino",01/12/2022,€ 107.000,0,2,48 m²,1,5
"Villa unifamiliare via Tommaso Gulli 37, Borgo Vittoria, Torino",14/12/2022,€ 195.000,0,4,100 m²,3,
"Trilocale via Sempione 152, Barriera di Milano, Torino",25/11/2022,€ 95.000,0,3,80 m²,1,2
"Trilocale via Pier Dionigi Pinelli, San Donato, Torino",25/10/2022,€ 165.000,0,3,70 m²,2,1
"Trilocale corso Belgio 116, Vanchiglietta, Torino",03/01/2023,€ 112.000,0,3,70 m²,1,1
"Bilocale corso Potenza 141, Lucento, Torino",03/01/2023,€ 34.000,0,2,40 m²,1,T
"Quadrilocale corso Filippo Turati 7, San Secondo, Torino",02/12/2022,€ 342.000,0,4,125 m²,2,2
"Quadrilocale corso Francia 161, Pozzo Strada, Torino",08/11/2022,€ 250.000,0,4,102 m²,1,2
"Bilocale via Nicomede Bianchi 116, Parella, Torino",17/10/2022,€ 59.000,0,2,45 m²,1,R
"Appartamento via Principi d'Acaja 7, San Donato, Torino",02/11/2022,€ 318.000,0,5+,160 m²,2,R
